crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.45,0.45,0.05,0.05,0.3,True,500
0.45,0.45,0.05,0.05,0.3,True,29
0.45,0.45,0.05,0.05,0.3,True,9
0.45,0.45,0.05,0.05,0.3,True,218
0.45,0.45,0.05,0.05,0.3,True,285
0.45,0.45,0.05,0.05,0.3,True,216
0.45,0.45,0.05,0.05,0.3,True,10
0.75,0.1,0.1,0.05,0.4,True,4
0.75,0.1,0.1,0.05,0.4,True,250
0.75,0.1,0.1,0.05,0.4,True,500
0.75,0.1,0.1,0.05,0.4,True,423
0.75,0.1,0.1,0.05,0.4,True,69
0.75,0.1,0.1,0.05,0.4,True,384
0.75,0.1,0.1,0.05,0.4,True,500
0.75,0.1,0.1,0.05,0.4,True,3
0.75,0.1,0.1,0.05,0.4,True,371
0.75,0.1,0.1,0.05,0.4,True,89
0.75,0.1,0.1,0.05,0.4,True,4
0.75,0.1,0.1,0.05,0.4,True,286
0.75,0.1,0.1,0.05,0.4,True,26
0.75,0.1,0.1,0.05,0.4,True,2
0.75,0.1,0.1,0.05,0.4,True,289
0.75,0.1,0.1,0.05,0.4,True,308
0.75,0.1,0.1,0.05,0.4,True,204
0.75,0.1,0.1,0.05,0.4,True,223
0.75,0.1,0.1,0.05,0.4,True,3
0.75,0.1,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,156
0.1,0.75,0.1,0.05,0.4,True,131
0.1,0.75,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,160
0.1,0.75,0.1,0.05,0.4,True,4
0.1,0.75,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,88
0.1,0.75,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,1
0.1,0.75,0.1,0.05,0.4,True,356
0.1,0.75,0.1,0.05,0.4,True,6
0.1,0.75,0.1,0.05,0.4,True,169
0.1,0.75,0.1,0.05,0.4,True,1
0.1,0.75,0.1,0.05,0.4,True,2
0.1,0.75,0.1,0.05,0.4,True,273
0.1,0.75,0.1,0.05,0.4,True,311
0.1,0.75,0.1,0.05,0.4,True,14
0.1,0.75,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,500
0.1,0.75,0.1,0.05,0.4,True,240
0.45,0.45,0.05,0.05,0.4,True,2
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,3
0.45,0.45,0.05,0.05,0.4,True,488
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,303
0.45,0.45,0.05,0.05,0.4,True,182
0.45,0.45,0.05,0.05,0.4,True,451
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,2
0.45,0.45,0.05,0.05,0.4,True,328
0.45,0.45,0.05,0.05,0.4,True,154
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,28
0.45,0.45,0.05,0.05,0.4,True,2
0.45,0.45,0.05,0.05,0.4,True,500
0.45,0.45,0.05,0.05,0.4,True,4
0.45,0.45,0.05,0.05,0.4,True,4
0.45,0.45,0.05,0.05,0.4,True,500
